"Date","Price","Open","High","Low","Change %"
"03/21/2024","530.63","537.52","537.52","530.63","-1.28%"
"03/20/2024","537.49","538.14","538.14","537.49","1.68%"
"03/19/2024","528.62","566.87","566.87","528.62","-6.82%"
"03/18/2024","567.29","588.89","588.89","567.29","-3.67%"
"03/15/2024","588.89","588.89","588.89","581.65","1.07%"
"03/14/2024","582.63","582.63","582.63","577.74","0.80%"
"03/13/2024","578.03","578.03","578.03","575.48","0.33%"
"03/12/2024","576.12","576.12","576.12","559.60","2.88%"
"03/11/2024","560.00","560.00","560.00","544.53","2.88%"
"03/08/2024","544.30","544.30","544.30","539.47","0.96%"
"03/07/2024","539.12","568.36","568.36","539.12","-5.14%"
"03/06/2024","568.32","573.19","573.19","568.32","-0.69%"
"03/05/2024","572.29","572.29","572.29","558.37","2.37%"
"03/04/2024","559.02","592.28","592.28","559.02","-5.46%"
"03/01/2024","591.28","611.38","611.38","591.28","-3.29%"
"02/29/2024","611.39","611.39","611.39","587.09","4.24%"
"02/28/2024","586.54","701.09","701.09","586.54","-16.35%"
"02/27/2024","701.22","701.22","701.22","676.05","3.73%"
"02/26/2024","676.00","987.06","987.06","676.00","-31.43%"
"02/23/2024","985.80","986.97","986.97","985.80","-0.02%"
"02/22/2024","986.03","1,004.87","1,004.87","986.03","-1.82%"
"02/21/2024","1,004.30","1,033.65","1,033.65","1,004.30","-2.84%"
"02/20/2024","1,033.64","1,044.56","1,044.56","1,033.64","-0.97%"
"02/19/2024","1,043.76","1,054.06","1,054.06","1,043.76","-0.80%"
"02/16/2024","1,052.22","1,052.22","1,052.22","1,030.60","2.20%"
"02/15/2024","1,029.52","1,072.42","1,072.42","1,029.52","-4.00%"
"02/14/2024","1,072.39","1,084.08","1,084.08","1,072.39","-1.06%"
"02/13/2024","1,083.92","1,083.92","1,083.92","1,018.63","6.47%"
"02/12/2024","1,018.09","1,018.09","1,018.09","1,013.44","0.60%"
"02/09/2024","1,012.03","1,012.03","1,012.03","981.46","3.16%"
"02/08/2024","981.06","1,058.45","1,058.45","981.06","-7.27%"
"02/07/2024","1,057.98","1,092.59","1,092.59","1,057.98","-3.21%"
"02/06/2024","1,093.06","1,126.14","1,126.14","1,093.06","-2.93%"
"02/05/2024","1,126.04","1,158.99","1,158.99","1,126.04","-2.51%"
"02/02/2024","1,155.05","1,163.83","1,163.83","1,155.05","-0.65%"
"02/01/2024","1,162.63","1,188.19","1,188.19","1,162.63","-2.11%"
"01/31/2024","1,187.73","1,245.72","1,245.72","1,187.73","-4.73%"
"01/30/2024","1,246.65","1,332.19","1,332.19","1,246.65","-6.41%"
"01/29/2024","1,332.04","1,332.04","1,332.04","1,295.76","2.92%"
"01/26/2024","1,294.29","1,294.29","1,294.29","1,287.82","0.46%"
"01/25/2024","1,288.31","1,288.31","1,288.31","1,218.26","5.78%"
"01/24/2024","1,217.93","1,239.90","1,239.90","1,217.93","-1.81%"
"01/23/2024","1,240.34","1,240.34","1,240.34","1,216.96","1.94%"
"01/22/2024","1,216.71","1,261.00","1,261.00","1,216.71","-3.39%"
"01/19/2024","1,259.44","1,326.84","1,326.84","1,259.44","-4.99%"
"01/18/2024","1,325.56","1,325.56","1,325.56","1,324.61","0.10%"
"01/17/2024","1,324.25","1,324.25","1,324.25","1,303.70","1.61%"
"01/16/2024","1,303.21","1,303.21","1,303.21","1,254.51","4.00%"
"01/15/2024","1,253.05","1,253.05","1,253.05","1,240.69","1.18%"
"01/12/2024","1,238.38","1,253.78","1,253.78","1,238.38","-1.21%"
"01/11/2024","1,253.58","1,256.38","1,256.38","1,253.58","-0.21%"
"01/10/2024","1,256.17","1,292.57","1,292.57","1,256.17","-2.86%"
"01/09/2024","1,293.10","1,317.58","1,317.58","1,293.10","-1.81%"
"01/08/2024","1,316.89","1,316.89","1,316.89","1,307.03","0.98%"
"01/05/2024","1,304.13","1,325.39","1,325.39","1,304.13","-1.51%"
"01/04/2024","1,324.12","1,324.12","1,324.12","1,248.08","6.18%"
"01/03/2024","1,247.02","1,247.02","1,247.02","1,187.47","5.06%"
"01/02/2024","1,186.96","1,186.96","1,186.96","1,097.69","8.27%"
"01/01/2024","1,096.33","1,096.33","1,096.33","1,096.33","0.12%"
"12/29/2023","1,094.97","1,116.62","1,116.62","1,094.97","-1.93%"
"12/28/2023","1,116.47","1,116.47","1,116.47","1,116.00","0.11%"
"12/27/2023","1,115.20","1,117.21","1,117.21","1,115.20","-0.12%"
"12/26/2023","1,116.57","1,116.57","1,116.57","1,116.13","0.08%"
"12/25/2023","1,115.67","1,115.67","1,115.67","1,115.67","0.13%"
"12/22/2023","1,114.24","1,142.22","1,142.22","1,114.24","-2.38%"
"12/21/2023","1,141.35","1,141.81","1,141.81","1,141.35","-0.06%"
"12/20/2023","1,142.04","1,143.16","1,143.16","1,142.04","-0.18%"
"12/19/2023","1,144.07","1,144.53","1,144.53","1,144.07","0.01%"
"12/18/2023","1,143.98","1,143.98","1,143.98","1,142.89","0.19%"
"12/15/2023","1,141.82","1,141.82","1,141.82","1,109.11","3.05%"
"12/14/2023","1,108.04","1,224.23","1,224.23","1,108.04","-9.71%"
"12/13/2023","1,227.24","1,233.76","1,233.76","1,227.24","-0.56%"
"12/12/2023","1,234.09","1,275.14","1,275.14","1,234.09","-3.23%"
