"Date","Price","Open","High","Low","Vol.","Change %"
"06/02/2025","12,710.68","12,765.51","12,793.09","12,577.37","","-0.43%"
"05/30/2025","12,765.51","12,853.92","13,022.98","12,765.51","","-0.69%"
"05/29/2025","12,853.92","12,730.40","12,917.18","12,711.57","","0.97%"
"05/28/2025","12,730.40","12,575.47","12,780.24","12,531.49","","1.23%"
"05/27/2025","12,575.47","12,622.56","12,747.36","12,517.40","","-0.37%"
"05/26/2025","12,622.56","12,451.39","12,655.48","12,441.37","","1.37%"
"05/23/2025","12,451.39","12,462.72","12,568.49","12,346.03","","-0.09%"
"05/22/2025","12,462.72","12,535.41","12,535.41","12,307.81","","-0.58%"
"05/21/2025","12,535.41","12,519.76","12,590.98","12,391.56","","0.13%"
"05/20/2025","12,519.76","12,632.72","12,679.96","12,472.68","","-0.89%"
"05/19/2025","12,632.72","12,842.59","12,842.59","12,488.30","","-1.63%"
"05/16/2025","12,842.59","12,822.71","12,868.92","12,732.45","","0.16%"
"05/15/2025","12,822.71","12,657.80","12,841.34","12,601.33","","1.30%"
"05/14/2025","12,657.80","12,712.76","12,773.09","12,606.35","","-0.43%"
"05/13/2025","12,712.76","12,695.90","12,755.29","12,582.34","","0.13%"
"05/12/2025","12,695.90","12,394.13","12,847.52","12,394.13","","2.43%"
"05/09/2025","12,394.13","12,288.80","12,471.07","12,288.80","","0.86%"
"05/08/2025","12,288.80","12,357.52","12,512.23","12,288.80","","-0.56%"
"05/07/2025","12,357.52","12,354.05","12,513.00","12,349.89","","0.03%"
"05/06/2025","12,354.05","12,521.28","12,546.61","12,208.36","","-1.34%"
"05/05/2025","12,521.28","12,656.32","12,679.23","12,486.40","","-1.07%"
"05/02/2025","12,656.32","12,546.42","12,814.54","12,546.42","","0.88%"
"04/30/2025","12,546.42","12,640.97","12,749.61","12,521.24","","-0.75%"
"04/29/2025","12,640.97","12,413.15","12,679.91","12,413.15","","1.84%"
"04/25/2025","12,413.15","12,325.49","12,544.55","12,325.49","","0.71%"
"04/24/2025","12,325.49","12,214.05","12,385.39","12,131.71","","0.91%"
"04/23/2025","12,214.05","11,979.56","12,447.46","11,979.56","","1.96%"
"04/22/2025","11,979.56","11,941.66","12,043.08","11,911.45","","0.32%"
"04/17/2025","11,941.66","11,897.17","12,049.69","11,896.70","","0.37%"
"04/16/2025","11,897.17","11,992.19","12,005.07","11,800.81","","-0.79%"
"04/15/2025","11,992.19","11,934.24","12,056.94","11,802.12","","0.49%"
"04/14/2025","11,934.24","11,369.32","11,936.48","11,369.32","","4.97%"
"04/11/2025","11,369.32","11,576.61","11,597.39","11,303.29","","-1.79%"
"04/10/2025","11,576.61","11,046.13","11,893.21","11,046.13","","4.80%"
"04/09/2025","11,046.13","11,670.84","11,670.84","10,997.91","","-5.35%"
"04/08/2025","11,670.84","11,202.69","11,754.71","11,126.54","","4.18%"
"04/07/2025","11,202.69","10,917.80","11,441.56","10,241.42","","2.61%"
"04/04/2025","10,917.80","11,362.59","11,362.59","10,893.95","","-3.91%"
"04/03/2025","11,362.59","12,007.20","12,007.20","11,271.80","","-5.37%"
"04/02/2025","12,007.20","12,519.97","12,519.97","11,926.45","","-4.10%"
"04/01/2025","12,519.97","12,381.82","12,642.02","12,381.82","","1.12%"
"03/31/2025","12,381.82","12,517.64","12,589.21","12,323.08","","-1.09%"
"03/28/2025","12,517.64","12,867.87","12,867.87","12,517.64","","-2.72%"
"03/27/2025","12,867.87","12,968.43","12,976.12","12,804.10","","-0.78%"
"03/26/2025","12,968.43","12,796.07","13,005.30","12,796.07","","1.35%"
"03/25/2025","12,796.07","12,565.36","12,826.84","12,565.36","","1.84%"
"03/24/2025","12,565.36","12,692.90","12,871.42","12,557.14","","-1.00%"
"03/20/2025","12,692.90","12,701.55","12,821.68","12,646.93","","-0.07%"
"03/19/2025","12,701.55","12,585.37","12,756.69","12,585.37","","0.92%"
"03/18/2025","12,585.37","12,611.66","12,743.65","12,564.30","","-0.21%"
"03/17/2025","12,611.66","12,528.30","12,689.55","12,492.35","","0.67%"
"03/14/2025","12,528.30","12,296.90","12,545.23","12,296.90","","1.88%"
"03/13/2025","12,296.90","12,169.44","12,386.40","12,151.44","","1.05%"
"03/12/2025","12,169.44","12,159.88","12,315.34","12,093.65","","0.08%"
"03/11/2025","12,159.88","12,354.30","12,432.42","12,156.81","","-1.57%"
"03/10/2025","12,354.30","12,474.50","12,510.19","12,322.28","","-0.96%"
"03/07/2025","12,474.50","12,330.23","12,518.46","12,330.23","","1.17%"
"03/06/2025","12,330.23","12,467.34","12,633.00","12,306.11","","-1.10%"
"03/05/2025","12,467.34","12,370.64","12,565.44","12,370.64","","0.78%"
"03/04/2025","12,370.64","12,419.79","12,510.46","12,301.31","","-0.40%"
"03/03/2025","12,419.79","12,251.92","12,453.85","12,251.92","","1.37%"
"02/28/2025","12,251.92","12,397.70","12,436.11","12,251.92","","-1.18%"
"02/27/2025","12,397.70","12,625.11","12,645.65","12,386.47","","-1.80%"
"02/26/2025","12,625.11","12,424.40","12,672.23","12,409.55","","1.62%"
"02/25/2025","12,424.40","12,335.55","12,462.03","12,312.64","","0.72%"
"02/24/2025","12,335.55","12,424.11","12,499.45","12,306.92","","-0.71%"
"02/21/2025","12,424.11","12,345.79","12,456.15","12,305.53","","0.63%"
"02/20/2025","12,345.79","12,394.16","12,411.11","12,175.37","","-0.39%"
"02/19/2025","12,394.16","12,525.72","12,673.28","12,394.16","","-1.05%"
"02/18/2025","12,525.72","12,448.63","12,525.72","12,292.95","","0.62%"
"02/17/2025","12,448.63","12,480.61","12,513.40","12,373.47","","-0.26%"
"02/14/2025","12,480.61","12,512.50","12,559.25","12,424.64","","-0.25%"
"02/13/2025","12,512.50","12,600.06","12,702.73","12,489.91","","-0.69%"
"02/12/2025","12,600.06","12,576.42","12,695.77","12,566.08","","0.19%"
"02/11/2025","12,576.42","12,629.59","12,668.08","12,530.35","","-0.42%"
"02/10/2025","12,629.59","12,685.36","12,685.36","12,572.39","","-0.44%"
"02/07/2025","12,685.36","12,592.35","12,741.45","12,554.19","","0.74%"
"02/06/2025","12,592.35","12,405.23","12,596.90","12,405.23","","1.51%"
"02/05/2025","12,405.23","12,411.46","12,511.31","12,371.83","","-0.05%"
"02/04/2025","12,411.46","12,233.65","12,458.06","12,233.65","","1.45%"
"02/03/2025","12,233.65","12,388.20","12,388.20","12,118.49","","-1.25%"
"01/31/2025","12,388.20","12,471.15","12,473.36","12,295.96","","-0.67%"
"01/30/2025","12,471.15","12,457.91","12,505.30","12,412.04","","0.11%"
"01/29/2025","12,457.91","12,351.54","12,546.39","12,339.49","","0.86%"
"01/28/2025","12,351.54","12,259.34","12,367.03","12,135.93","","0.75%"
"01/27/2025","12,259.34","12,304.73","12,304.73","12,117.17","","-0.37%"
"01/24/2025","12,304.73","12,365.61","12,461.45","12,304.73","","-0.49%"
"01/23/2025","12,365.61","12,565.26","12,590.62","12,337.96","","-1.59%"
"01/22/2025","12,565.26","12,654.07","12,714.88","12,565.26","","-0.70%"
"01/21/2025","12,654.07","12,588.33","12,727.03","12,483.67","","0.52%"
"01/20/2025","12,588.33","12,633.87","12,698.66","12,540.82","","-0.36%"
"01/17/2025","12,633.87","12,423.18","12,657.86","12,423.18","","1.70%"
"01/16/2025","12,423.18","12,524.99","12,594.49","12,376.35","","-0.81%"
"01/15/2025","12,524.99","12,245.66","12,524.99","12,204.26","","2.28%"
"01/14/2025","12,245.66","12,264.44","12,381.10","12,231.99","","-0.15%"
"01/13/2025","12,264.44","12,517.84","12,517.84","12,148.64","","-2.02%"
"01/10/2025","12,517.84","12,616.01","12,711.86","12,462.13","","-0.78%"
"01/09/2025","12,616.01","12,661.71","12,698.97","12,572.25","","-0.36%"
"01/08/2025","12,661.71","12,894.42","12,959.63","12,644.70","","-1.80%"
"01/07/2025","12,894.42","12,869.19","13,034.17","12,867.20","","0.20%"
"01/06/2025","12,869.19","12,788.84","12,946.64","12,788.84","","0.63%"
"01/03/2025","12,788.84","12,668.67","12,810.35","12,561.63","","0.95%"
"01/02/2025","12,668.67","12,663.71","12,819.16","12,625.61","","0.04%"
"12/31/2024","12,663.71","12,685.80","12,745.19","12,621.36","","-0.17%"
"12/30/2024","12,685.80","12,756.20","12,771.15","12,607.62","","-0.55%"
"12/27/2024","12,756.20","12,843.10","12,843.10","12,653.64","","356.92%"
"12/24/2024","2,791.76","2,790.68","2,794.59","2,790.68","","-78.23%"
"12/23/2024","12,822.02","12,837.49","12,914.68","12,703.00","","-0.12%"
"12/20/2024","12,837.49","12,825.18","12,872.25","12,666.72","","0.10%"
"12/19/2024","12,825.18","13,044.89","13,044.89","12,776.45","","-1.68%"
"12/18/2024","13,044.89","13,030.08","13,131.52","12,990.78","","0.11%"
"12/17/2024","13,030.08","13,295.58","13,336.89","13,030.08","","-2.00%"
"12/13/2024","13,295.58","13,200.59","13,365.67","13,143.85","","0.72%"
"12/12/2024","13,200.59","13,231.50","13,313.97","13,192.42","","-0.23%"
"12/11/2024","13,231.50","13,384.32","13,395.38","13,152.84","","-1.14%"
"12/10/2024","13,384.32","13,386.11","13,448.31","13,317.85","","-0.01%"
"12/09/2024","13,386.11","13,325.61","13,408.72","13,272.33","","0.45%"
"12/06/2024","13,325.61","13,192.02","13,421.98","13,165.63","","1.01%"
"12/05/2024","13,192.02","12,952.38","13,277.33","12,858.81","","1.85%"
"12/04/2024","12,952.38","12,798.46","13,054.52","12,798.46","","1.20%"
"12/03/2024","12,798.46","12,955.62","12,984.94","12,760.02","","-1.21%"
"12/02/2024","12,955.62","12,923.75","12,989.66","12,810.20","","0.25%"
"11/29/2024","12,923.75","13,067.43","13,067.43","12,915.92","","-1.10%"
"11/28/2024","13,067.43","13,045.74","13,122.89","13,025.31","","0.17%"
"11/27/2024","13,045.74","13,203.33","13,324.18","13,045.74","","-1.19%"
"11/26/2024","13,203.33","13,099.67","13,288.26","13,018.93","","0.79%"
"11/25/2024","13,099.67","13,213.67","13,320.83","13,088.47","","-0.86%"
"11/22/2024","13,213.67","13,345.08","13,398.49","13,204.70","","-0.98%"
"11/21/2024","13,345.08","13,183.51","13,355.98","13,183.51","","1.23%"
"11/20/2024","13,183.51","12,976.33","13,217.27","12,976.33","","1.60%"
"11/19/2024","12,976.33","12,935.77","13,037.71","12,855.11","","0.31%"
"11/18/2024","12,935.77","12,929.46","13,044.62","12,879.58","","0.05%"
"11/15/2024","12,929.46","13,019.12","13,047.65","12,899.17","","-0.69%"
"11/14/2024","13,019.12","13,011.36","13,192.48","12,997.43","","0.06%"
"11/13/2024","13,011.36","13,092.31","13,092.31","12,985.03","","-0.62%"
"11/12/2024","13,092.31","13,104.98","13,124.89","12,972.57","","-0.10%"
"11/11/2024","13,104.98","13,154.83","13,225.32","13,045.70","","-0.38%"
"11/08/2024","13,154.83","13,248.30","13,267.92","13,109.06","","-0.71%"
"11/07/2024","13,248.30","13,119.55","13,326.52","13,119.55","","0.98%"
"11/06/2024","13,119.55","13,256.32","13,256.32","13,050.22","","-1.03%"
"11/05/2024","13,256.32","13,180.14","13,285.51","13,157.23","","0.58%"
