"Date","Price","Open","High","Low","Vol.","Change %"
"09/26/2025","172.40","177.00","178.90","172.00","47.45K","-3.15%"
"09/25/2025","178.00","179.00","181.00","176.00","27.84K","-0.56%"
"09/24/2025","179.00","179.40","182.70","175.00","46.28K","-0.56%"
"09/23/2025","180.00","183.35","185.00","176.20","43.90K","-0.55%"
"09/22/2025","181.00","179.00","183.70","172.70","104.70K","3.43%"
"09/19/2025","175.00","186.90","186.90","174.20","208.45K","-4.89%"
"09/18/2025","184.00","185.00","189.50","181.55","63.30K","-0.54%"
"09/17/2025","185.00","195.05","199.40","185.00","140.01K","-4.59%"
"09/16/2025","193.90","186.00","194.85","185.00","139.50K","4.14%"
"09/15/2025","186.20","185.00","188.90","184.30","236.63K","1.89%"
"09/12/2025","182.75","181.10","185.00","178.10","195.91K","5.03%"
"09/11/2025","174.00","165.00","174.00","165.00","197.05K","7.08%"
"09/10/2025","162.50","158.00","163.50","158.00","133.17K","2.91%"
"09/09/2025","157.90","163.00","164.75","157.00","127.37K","-2.56%"
"09/08/2025","162.05","158.90","164.75","157.10","70.87K","1.25%"
"09/04/2025","160.05","162.00","163.90","160.05","44.40K","-1.45%"
"09/03/2025","162.40","164.00","164.70","162.05","156.76K","-1.61%"
"09/02/2025","165.05","165.10","169.00","164.00","158.66K","1.26%"
"09/01/2025","163.00","160.15","163.00","156.00","369.62K","7.24%"
"08/29/2025","152.00","155.00","156.85","151.10","132.21K","-2.50%"
"08/28/2025","155.90","162.05","163.00","153.85","121.86K","-2.50%"
"08/27/2025","159.90","157.00","159.90","153.10","123.81K","2.04%"
"08/26/2025","156.70","155.00","158.85","155.00","180.15K","1.36%"
"08/25/2025","154.60","148.10","154.90","148.00","94.82K","3.07%"
"08/22/2025","150.00","149.90","151.00","147.00","23.83K","0.67%"
"08/19/2025","149.00","148.90","150.95","146.00","48.60K","-0.57%"
"08/18/2025","149.85","151.90","153.00","149.85","43.73K","-1.41%"
"08/15/2025","152.00","153.85","156.80","150.60","56.81K","-1.20%"
"08/13/2025","153.85","154.00","154.30","150.20","29.80K","0.00%"
"08/12/2025","153.85","148.10","154.00","148.10","44.81K","2.40%"
"08/11/2025","150.25","155.10","156.60","150.20","72.40K","-1.60%"
"08/08/2025","152.70","146.15","153.00","146.15","136.72K","3.53%"
"08/07/2025","147.50","143.50","148.85","141.55","235.77K","3.22%"
"08/06/2025","142.90","143.50","144.00","141.50","58.80K","0.99%"
"08/05/2025","141.50","142.50","146.60","141.50","112.46K","0.00%"
"08/04/2025","141.50","136.30","141.95","136.30","50.34K","1.22%"
"08/01/2025","139.80","142.80","142.80","139.80","55.94K","-1.41%"
"07/31/2025","141.80","141.00","143.00","140.10","89.37K","0.04%"
"07/29/2025","141.75","143.20","143.20","141.40","29.95K","-0.25%"
"07/28/2025","142.10","144.00","145.00","142.10","53.41K","-1.32%"
"07/25/2025","144.00","141.60","146.40","141.60","90.05K","1.41%"
"07/24/2025","142.00","143.00","144.50","140.60","53.43K","-0.70%"
