"Date","Price","Open","High","Low","Vol.","Change %"
"09/17/2025","280.00","293.00","293.00","280.00","4.47K","-3.11%"
"09/16/2025","289.00","292.00","294.85","288.60","1.37K","0.00%"
"09/15/2025","289.00","298.00","298.00","288.55","2.32K","-0.34%"
"09/12/2025","290.00","296.95","296.95","290.00","8.74K","-1.69%"
"09/11/2025","295.00","299.85","299.85","293.15","1.22K","0.34%"
"09/10/2025","294.00","290.00","295.00","290.00","0.89K","4.63%"
"09/09/2025","281.00","300.00","300.00","281.00","19.05K","-5.07%"
"09/08/2025","296.00","298.00","302.00","296.00","6.03K","0.00%"
"09/04/2025","296.00","294.00","299.95","294.00","2.91K","0.12%"
"09/03/2025","295.65","300.00","300.00","294.00","6.63K","0.22%"
"09/02/2025","295.00","298.00","300.00","295.00","4.61K","-1.67%"
"09/01/2025","300.00","299.00","300.00","295.00","5.62K","0.33%"
"08/29/2025","299.00","300.00","301.50","297.00","7.25K","-0.33%"
"08/28/2025","300.00","305.00","308.00","298.00","9.07K","-0.99%"
"08/27/2025","303.00","314.90","314.90","303.00","29.66K","-2.26%"
"08/26/2025","310.00","317.00","317.00","305.50","14.46K","-2.52%"
"08/25/2025","318.00","300.00","326.60","300.00","66.84K","7.09%"
"08/22/2025","296.95","290.00","296.95","289.00","59.41K","9.98%"
"08/19/2025","270.00","289.80","289.80","270.00","460.10K","-6.25%"
"08/18/2025","288.00","286.00","290.00","286.00","4.51K","2.86%"
"08/15/2025","280.00","287.05","287.20","280.00","28.56K","-2.44%"
"08/13/2025","287.00","290.95","290.95","287.00","9.48K","-1.03%"
"08/12/2025","290.00","291.85","291.95","289.20","16.65K","0.02%"
"08/11/2025","289.95","289.00","291.00","288.00","6.18K","0.00%"
"08/08/2025","289.95","285.00","289.95","285.00","4.13K","1.52%"
"08/07/2025","285.60","284.90","285.60","284.00","1.81K","0.25%"
"08/06/2025","284.90","284.95","284.95","281.00","23.20K","1.77%"
"08/05/2025","279.95","284.30","285.00","279.95","23.87K","-1.77%"
"08/04/2025","285.00","285.00","285.00","280.00","3.96K","-0.35%"
"08/01/2025","286.00","290.00","290.60","284.00","7.37K","0.53%"
"07/31/2025","284.50","292.35","292.35","284.50","15.11K","-2.23%"
"07/29/2025","291.00","290.10","294.60","290.00","1.57K","0.69%"
"07/28/2025","289.00","295.00","297.00","289.00","17.06K","-2.03%"
"07/25/2025","295.00","293.30","296.50","293.00","6.89K","0.34%"
"07/24/2025","294.00","294.75","294.75","293.50","0.87K","0.00%"
"07/23/2025","294.00","294.00","294.80","292.50","0.82K","0.60%"
"07/22/2025","292.25","296.75","296.90","292.20","0.67K","-1.57%"
"07/21/2025","296.90","293.00","297.45","293.00","2.39K","1.68%"
"07/18/2025","292.00","291.90","292.00","291.00","3.70K","0.03%"
"07/17/2025","291.90","292.90","292.90","291.10","1.22K","0.31%"
"07/16/2025","291.00","293.05","294.50","290.20","1.88K","-1.19%"
"07/15/2025","294.50","295.00","295.00","292.40","0.76K","-0.14%"
"07/14/2025","294.90","295.00","296.50","292.40","8.37K","-0.03%"
"07/11/2025","295.00","294.90","295.00","294.00","1.68K","0.00%"
"07/10/2025","295.00","295.05","298.00","295.00","5.56K","-0.02%"
"07/09/2025","295.05","298.65","298.65","294.05","0.37K","-1.22%"
"07/08/2025","298.70","293.70","298.70","293.50","10.04K","-0.03%"
"07/07/2025","298.80","293.25","298.80","293.20","0.85K","-0.07%"
"07/04/2025","299.00","293.00","299.00","291.00","3.09K","2.05%"
"07/03/2025","293.00","293.00","295.00","292.70","1.01K","0.10%"
"07/02/2025","292.70","295.00","295.00","291.50","1.28K","-0.34%"
"07/01/2025","293.70","297.00","297.95","291.50","0.98K","-0.46%"
"06/30/2025","295.05","299.50","299.50","290.60","1.98K","-1.65%"
"06/26/2025","300.00","300.10","303.00","300.00","29.32K","-0.50%"
"06/25/2025","301.50","298.00","301.90","298.00","5.43K","0.50%"
"06/24/2025","300.00","299.00","303.00","298.95","5.78K","0.33%"
"06/23/2025","299.00","292.10","299.00","291.00","1.60K","1.01%"
"06/20/2025","296.00","297.00","300.00","295.00","2.27K","-0.67%"
"06/19/2025","298.00","295.00","299.00","294.00","0.89K","-0.67%"
"06/18/2025","300.00","304.70","304.70","296.00","26.96K","1.01%"
"06/17/2025","297.00","296.05","299.95","296.00","0.93K","0.32%"
"06/16/2025","296.05","298.00","299.95","295.05","1.05K","-0.65%"
"06/13/2025","298.00","302.00","307.80","293.35","33.30K","-3.15%"
"06/12/2025","307.70","300.60","308.00","300.55","8.00K","1.08%"
"06/11/2025","304.40","304.50","304.50","300.15","10.45K","-0.10%"
"06/10/2025","304.70","304.45","304.70","298.15","119.84K","2.25%"
"06/06/2025","298.00","305.00","306.50","298.00","4.00K","-2.30%"
"06/05/2025","305.00","300.00","305.80","297.10","86.29K","1.87%"
"06/04/2025","299.40","298.10","299.50","298.00","5.94K","0.44%"
"06/03/2025","298.10","298.90","299.45","295.10","14.28K","0.37%"
"06/02/2025","297.00","293.00","299.00","292.00","24.61K","1.37%"
"05/30/2025","293.00","290.00","293.95","290.00","12.20K","1.03%"
"05/29/2025","290.00","290.05","292.00","290.00","2.18K","0.00%"
"05/28/2025","290.00","292.00","292.50","290.00","17.66K","-1.34%"
"05/27/2025","293.95","290.05","294.00","290.05","0.39K","1.36%"
"05/26/2025","290.00","290.00","294.50","290.00","3.99K","-0.68%"
"05/23/2025","292.00","295.00","295.00","292.00","1.85K","-0.34%"
"05/22/2025","293.00","294.95","294.95","293.00","1.58K","0.00%"
"05/21/2025","293.00","297.00","297.00","292.20","0.60K","0.00%"
"05/20/2025","293.00","292.00","293.00","291.00","2.23K","0.00%"
"05/19/2025","293.00","299.00","299.00","290.10","5.69K","3.50%"
"05/16/2025","283.10","298.00","299.00","283.10","7.09K","-5.32%"
"05/15/2025","299.00","300.00","300.00","299.00","3.34K","-0.33%"
"05/14/2025","300.00","303.65","303.65","298.10","3.91K","-1.25%"
"05/13/2025","303.80","304.00","304.00","295.00","79.62K","0.26%"
"05/12/2025","303.00","303.95","303.95","300.00","36.58K","1.90%"
"05/09/2025","297.35","302.00","302.00","297.35","12.88K","0.08%"
"05/08/2025","297.10","303.00","303.00","297.10","2.81K","-1.79%"
"05/07/2025","302.50","304.10","304.10","302.50","0.31K","-0.49%"
"05/06/2025","304.00","300.00","304.00","298.00","1.18K","1.33%"
"05/05/2025","300.00","300.00","304.00","298.00","1.69K","-1.61%"
"05/02/2025","304.90","305.00","305.00","300.05","5.76K","1.63%"
"04/30/2025","300.00","300.10","304.00","298.25","24.49K","0.00%"
"04/29/2025","300.00","301.05","304.70","300.00","1.46K","-1.62%"
"04/28/2025","304.95","305.50","305.90","300.30","14.41K","-0.28%"
"04/25/2025","305.80","306.90","306.90","305.00","0.29K","0.59%"
"04/24/2025","304.00","304.95","304.95","298.10","18.70K","1.33%"
"04/23/2025","300.00","308.85","308.85","300.00","3.32K","-1.64%"
"04/22/2025","305.00","307.00","307.00","305.00","1.43K","-1.29%"
"04/21/2025","309.00","310.00","310.00","305.00","4.13K","-1.17%"
"04/18/2025","312.65","303.00","312.70","300.00","16.95K","4.18%"
"04/17/2025","300.10","300.00","303.95","299.00","9.24K","0.03%"
"04/16/2025","300.00","307.00","307.00","300.00","2.42K","-0.50%"
"04/15/2025","301.50","302.00","302.00","293.00","9.64K","2.20%"
"04/14/2025","295.00","298.70","298.70","290.00","6.11K","4.61%"
"04/11/2025","282.00","294.50","294.50","282.00","13.66K","0.71%"
"04/10/2025","280.00","291.00","294.00","280.00","20.10K","4.48%"
"04/09/2025","268.00","280.00","280.00","267.00","19.74K","-4.32%"
"04/08/2025","280.10","276.20","290.00","276.20","5.58K","1.85%"
"04/07/2025","275.00","290.00","290.10","275.00","60.40K","-5.17%"
"04/04/2025","290.00","304.00","304.00","290.00","17.10K","-4.92%"
"04/03/2025","305.00","310.00","310.00","305.00","38.30K","-1.61%"
"04/02/2025","310.00","310.55","318.80","310.00","8.95K","0.00%"
"03/28/2025","310.00","311.20","317.90","310.00","15.89K","-2.75%"
"03/27/2025","318.75","314.00","318.90","314.00","2.08K","0.33%"
"03/26/2025","317.70","320.00","322.90","311.00","1.65K","-0.41%"
"03/25/2025","319.00","324.00","324.70","319.00","23.04K","-1.54%"
"03/24/2025","324.00","319.95","324.00","319.00","18.60K","1.57%"
"03/21/2025","319.00","315.00","319.00","310.50","21.70K","0.68%"
"03/20/2025","316.85","312.00","317.80","310.05","2.42K","2.21%"
"03/19/2025","310.00","313.00","313.90","310.00","6.60K","0.65%"
"03/18/2025","308.00","311.70","311.70","306.00","0.59K","-0.65%"
"03/17/2025","310.00","311.00","313.85","310.00","0.50K","1.64%"
"03/14/2025","305.00","302.10","305.00","300.10","0.37K","1.33%"
"03/13/2025","301.00","299.00","313.90","299.00","7.39K","0.33%"
"03/12/2025","300.00","310.00","310.00","300.00","5.94K","-3.23%"
"03/11/2025","310.00","310.00","313.50","310.00","6.40K","0.00%"
"03/10/2025","310.00","314.00","314.00","308.50","0.75K","0.65%"
"03/07/2025","308.00","314.00","314.00","308.00","4.16K","-0.65%"
"03/06/2025","310.00","314.00","315.00","310.00","1.87K","0.00%"
"03/05/2025","310.00","310.15","314.00","310.00","1.44K","0.00%"
"03/04/2025","310.00","315.00","319.50","310.00","7.27K","-0.16%"
"03/03/2025","310.50","311.00","319.95","310.50","7.41K","0.16%"
"02/28/2025","310.00","317.95","318.00","310.00","18.13K","0.65%"
"02/27/2025","308.00","330.00","330.00","308.00","26.37K","-6.38%"
"02/26/2025","329.00","331.00","335.00","329.00","2.76K","-0.72%"
"02/25/2025","331.40","327.00","331.40","323.70","0.39K","1.97%"
"02/24/2025","325.00","330.00","330.00","323.15","5.07K","-1.52%"
"02/21/2025","330.00","340.00","340.00","330.00","17.06K","-2.94%"
"02/20/2025","340.00","342.00","344.00","338.00","6.26K","-0.58%"
"02/19/2025","342.00","339.25","345.90","336.15","37.40K","0.88%"
"02/18/2025","339.00","339.10","339.95","335.00","5.50K","0.00%"
"02/17/2025","339.00","340.00","340.00","335.00","11.22K","0.00%"
"02/14/2025","339.00","335.00","340.00","335.00","2.27K","-0.29%"
"02/13/2025","340.00","330.05","340.00","330.05","9.16K","1.49%"
"02/12/2025","335.00","329.00","335.00","327.00","24.63K","1.52%"
"02/11/2025","330.00","330.00","330.00","330.00","10.02K","0.00%"
"02/10/2025","330.00","330.00","334.00","330.00","0.21K","0.00%"
"02/07/2025","330.00","333.00","337.00","330.00","3.70K","0.00%"
"02/06/2025","330.00","338.00","338.00","327.10","4.61K","0.00%"
"02/05/2025","330.00","334.85","334.85","329.00","1.12K","0.02%"
"02/04/2025","329.95","333.00","335.00","325.00","13.98K","-0.02%"
"02/03/2025","330.00","335.00","335.00","330.00","0.79K","0.00%"
"01/31/2025","330.00","332.00","335.00","330.00","11.72K","0.00%"
"01/30/2025","330.00","334.80","334.80","326.20","12.22K","0.00%"
"01/29/2025","330.00","326.30","330.00","326.20","12.14K","0.30%"
"01/28/2025","329.00","326.30","329.00","326.30","0.11K","0.30%"
"01/27/2025","328.00","329.00","329.00","326.00","0.87K","-0.58%"
"01/24/2025","329.90","331.00","331.00","325.50","3.02K","-0.03%"
"01/23/2025","330.00","332.00","332.00","328.00","6.67K","0.92%"
"01/22/2025","327.00","330.00","333.00","326.00","47.41K","-0.92%"
"01/21/2025","330.05","339.00","339.00","330.05","2.34K","-2.50%"
"01/20/2025","338.50","325.10","340.00","325.10","0.49K","1.04%"
"01/17/2025","335.00","329.00","335.00","321.15","36.85K","1.82%"
"01/16/2025","329.00","329.00","330.00","320.00","10.63K","1.23%"
"01/15/2025","325.00","320.00","328.00","320.00","7.48K","2.85%"
"01/13/2025","316.00","330.00","330.00","316.00","5.72K","-1.28%"
"01/10/2025","320.10","330.00","330.00","320.10","66.83K","-0.74%"
"01/09/2025","322.50","326.00","340.00","322.00","82.19K","1.74%"
"01/08/2025","317.00","314.90","326.00","313.00","78.78K","1.28%"
"01/07/2025","313.00","311.00","315.00","311.00","5.09K","-1.25%"
"01/06/2025","316.95","311.00","319.00","309.10","33.06K","1.91%"
"01/03/2025","311.00","307.00","314.00","305.05","52.73K","1.97%"
"01/02/2025","305.00","303.95","305.00","303.95","6.26K","0.33%"
