"Date","Price","Open","High","Low","Change %"
"03/01/2023","245.35","254.47","254.47","245.35","-3.71%"
"02/28/2023","254.81","255.89","255.89","254.81","0.15%"
"02/27/2023","254.43","262.66","262.66","254.43","-3.49%"
"02/24/2023","263.62","256.80","263.62","256.80","2.83%"
"02/23/2023","256.36","261.68","261.68","256.36","-2.25%"
"02/22/2023","262.26","266.01","266.01","262.26","-2.23%"
"02/21/2023","268.23","255.92","268.23","255.92","4.27%"
"02/20/2023","257.24","255.88","257.24","255.88","-0.05%"
"02/17/2023","257.36","248.05","257.36","248.05","3.85%"
"02/16/2023","247.81","246.41","247.81","246.41","0.27%"
"02/15/2023","247.14","248.85","248.85","247.14","-0.73%"
"02/14/2023","248.95","252.81","252.81","248.95","-1.58%"
"02/13/2023","252.95","255.41","255.41","252.95","-0.92%"
"02/10/2023","255.30","246.92","255.30","246.92","3.71%"
"02/09/2023","246.17","251.81","251.81","246.17","-2.29%"
"02/08/2023","251.93","249.78","251.93","249.78","1.05%"
"02/07/2023","249.30","249.24","249.30","249.24","-0.25%"
"02/06/2023","249.93","240.17","249.93","240.17","3.97%"
"02/03/2023","240.38","232.13","240.38","232.13","3.84%"
"02/02/2023","231.49","244.96","244.96","231.49","-5.92%"
"02/01/2023","246.05","251.80","251.80","246.05","-2.30%"
"01/31/2023","251.83","254.20","254.20","251.83","-0.38%"
"01/30/2023","252.78","248.86","252.78","248.86","1.33%"
"01/27/2023","249.47","252.28","252.28","249.47","-0.69%"
"01/26/2023","251.20","256.63","256.63","251.20","-2.15%"
"01/25/2023","256.72","254.69","256.72","254.69","0.21%"
"01/24/2023","256.19","249.77","256.19","249.77","2.07%"
"01/23/2023","251.00","256.59","256.59","251.00","-2.48%"
"01/20/2023","257.38","261.11","261.11","257.38","-1.02%"
"01/19/2023","260.04","249.73","260.04","249.73","5.61%"
"01/18/2023","246.23","246.23","246.23","246.23","-2.29%"
"01/17/2023","252.00","246.94","252.00","246.94","2.06%"
"01/16/2023","246.92","239.48","246.92","239.48","2.87%"
"01/13/2023","240.04","238.18","240.04","238.18","0.62%"
"01/12/2023","238.56","236.10","238.56","236.10","1.20%"
"01/11/2023","235.73","243.41","243.41","235.73","-3.37%"
"01/10/2023","243.95","236.10","243.95","236.10","2.83%"
"01/09/2023","237.24","246.88","246.88","237.24","-3.65%"
"01/06/2023","246.23","248.87","248.87","246.23","-1.14%"
"01/05/2023","249.08","239.07","249.08","239.07","3.57%"
"01/04/2023","240.50","240.82","240.82","240.50","-0.18%"
"01/03/2023","240.93","250.55","250.55","240.93","-3.77%"
"01/02/2023","250.38","250.64","250.64","250.38","-0.05%"
"12/30/2022","250.51","248.81","250.51","248.81","0.68%"
"12/29/2022","248.83","251.61","251.61","248.83","-0.11%"
"12/28/2022","249.11","251.66","251.66","249.11","-1.85%"
"12/27/2022","253.81","251.60","253.81","251.60","0.06%"
"12/26/2022","253.66","251.61","253.66","251.61","-0.05%"
"12/23/2022","253.78","251.68","253.78","251.68","0.38%"
"12/22/2022","252.82","257.48","257.48","252.82","-2.21%"
"12/21/2022","258.53","266.42","266.42","258.53","-2.87%"
"12/20/2022","266.18","258.56","266.18","258.56","2.34%"
"12/19/2022","260.09","268.43","268.43","260.09","-3.31%"
"12/16/2022","268.99","257.65","268.99","257.65","4.40%"
"12/15/2022","257.66","252.76","257.66","252.76","2.38%"
"12/14/2022","251.68","251.59","251.68","251.59","1.06%"
"12/13/2022","249.03","265.34","265.34","249.03","-6.40%"
"12/12/2022","266.07","259.67","266.07","259.67","2.86%"
"12/09/2022","258.67","261.36","261.36","258.67","-1.19%"
"12/08/2022","261.79","264.61","264.61","261.79","-1.28%"
"12/07/2022","265.18","269.19","269.19","265.18","-1.52%"
"12/06/2022","269.27","254.61","269.27","254.61","5.09%"
"12/05/2022","256.24","262.70","262.70","256.24","-2.84%"
"12/02/2022","263.72","270.41","270.41","263.72","-2.92%"
"12/01/2022","271.64","240.07","271.64","240.07","13.52%"
"11/30/2022","239.29","240.37","240.37","239.29","-0.40%"
"11/29/2022","240.25","241.93","241.93","240.25","-0.51%"
"11/28/2022","241.48","234.81","241.48","234.81","1.44%"
"11/25/2022","238.05","234.88","238.05","234.88","-0.18%"
"11/24/2022","238.48","243.79","243.79","238.48","-2.99%"
"11/23/2022","245.84","265.47","265.47","245.84","-3.22%"
"11/22/2022","254.01","265.27","265.27","254.01","-4.63%"
"11/21/2022","266.33","258.40","266.33","258.40","2.85%"
"11/18/2022","258.95","264.34","264.34","258.95","-2.53%"
"11/17/2022","265.67","244.39","265.67","244.39","8.83%"
"11/16/2022","244.11","244.05","244.11","244.05","3.45%"
"11/15/2022","235.96","243.80","243.80","235.96","-3.28%"
"11/14/2022","243.95","242.08","243.95","242.08","1.04%"
"11/11/2022","241.45","253.65","253.65","241.45","-4.83%"
"11/10/2022","253.71","283.85","283.85","253.71","-10.61%"
"11/09/2022","283.83","291.08","291.08","283.83","0.71%"
"11/08/2022","281.84","290.80","290.80","281.84","-0.98%"
"11/07/2022","284.62","290.80","290.80","284.62","-2.59%"
"11/04/2022","292.20","308.34","308.34","292.20","-5.56%"
"11/03/2022","309.39","293.83","309.39","293.83","4.95%"
"11/02/2022","294.79","299.44","299.44","294.79","-0.12%"
"11/01/2022","295.13","298.84","298.84","295.13","-1.22%"
"10/31/2022","298.77","291.93","298.77","291.93","1.20%"
"10/28/2022","295.23","297.52","297.52","295.23","-0.40%"
"10/27/2022","296.42","292.91","296.42","292.91","-0.11%"
"10/26/2022","296.75","313.26","313.26","296.75","-7.12%"
"10/25/2022","319.51","332.16","332.16","319.51","-4.77%"
"10/24/2022","335.53","344.59","344.59","335.53","-3.56%"
"10/21/2022","347.91","338.29","347.91","338.29","2.23%"
"10/20/2022","340.32","338.31","340.32","338.31","0.67%"
"10/19/2022","338.07","332.43","338.07","332.43","1.33%"
"10/18/2022","333.62","336.85","336.85","333.62","-1.40%"
"10/17/2022","338.36","345.80","345.80","338.36","-2.42%"
"10/14/2022","346.76","341.92","346.76","341.92","0.08%"
"10/13/2022","346.47","331.42","346.47","331.42","4.02%"
"10/12/2022","333.08","331.21","333.08","331.21","0.22%"
"10/11/2022","332.35","330.61","332.35","330.61","0.54%"
"10/10/2022","330.57","328.26","330.57","328.26","0.61%"
"10/07/2022","328.58","320.45","328.58","320.45","1.65%"
"10/06/2022","323.25","327.26","327.26","323.25","-1.75%"
"10/05/2022","329.02","311.07","329.02","311.07","5.38%"
"10/04/2022","312.22","329.70","329.70","312.22","-5.97%"
"10/03/2022","332.04","338.96","338.96","332.04","-3.14%"
"09/30/2022","342.79","347.11","347.11","342.79","-2.16%"
"09/29/2022","350.37","325.58","350.37","325.58","6.26%"
"09/28/2022","329.74","332.14","332.14","329.74","-0.41%"
"09/27/2022","331.11","327.21","331.11","327.21","3.98%"
"09/26/2022","318.45","313.01","318.45","313.01","3.73%"
"09/23/2022","307.01","292.10","307.01","292.10","5.17%"
"09/22/2022","291.91","283.59","291.91","283.59","2.46%"
"09/21/2022","284.90","290.26","290.26","284.90","-2.08%"
"09/20/2022","290.96","283.15","290.96","283.15","6.25%"
"09/19/2022","273.84","267.37","273.84","267.37","0.07%"
"09/16/2022","273.64","267.37","273.64","267.37","1.33%"
"09/15/2022","270.04","253.60","270.04","253.60","4.65%"
"09/14/2022","258.04","232.90","258.04","232.90","1.86%"
"09/13/2022","253.33","287.91","287.91","253.33","7.35%"
"09/12/2022","235.98","232.90","235.98","232.90","0.02%"
"09/09/2022","235.93","288.31","288.31","235.93","-12.32%"
"09/08/2022","269.08","287.91","287.91","269.08","0.00%"
"09/07/2022","269.08","288.91","288.91","269.08","0.02%"
"09/06/2022","269.02","288.31","288.31","269.02","0.02%"
"09/05/2022","268.97","287.91","287.91","268.97","0.01%"
"09/02/2022","268.94","287.91","287.91","268.94","-7.13%"
"09/01/2022","289.58","282.13","289.58","282.13","2.24%"
"08/31/2022","283.23","276.14","283.23","276.14","1.60%"
"08/30/2022","278.76","264.19","278.76","264.19","4.35%"
"08/29/2022","267.14","264.71","267.14","264.71","0.01%"
"08/26/2022","267.10","256.48","267.10","256.48","2.95%"
"08/25/2022","259.44","267.15","267.15","259.44","-4.71%"
"08/24/2022","272.27","289.72","289.72","272.27","-7.19%"
"08/23/2022","293.35","302.60","302.60","293.35","-3.80%"
"08/22/2022","304.95","282.54","304.95","282.54","7.60%"
"08/19/2022","283.42","269.26","283.42","269.26","4.70%"
"08/18/2022","270.69","269.06","270.69","269.06","0.45%"
"08/17/2022","269.49","255.42","269.49","255.42","4.79%"
"08/16/2022","257.16","241.54","257.16","241.54","6.41%"
"08/15/2022","241.66","232.76","241.66","232.76","3.40%"
"08/12/2022","233.71","227.73","233.71","227.73","1.87%"
"08/11/2022","229.41","237.62","237.62","229.41","-4.88%"
"08/10/2022","241.18","256.35","256.35","241.18","-5.83%"
"08/09/2022","256.11","258.26","258.26","256.11","-1.04%"
"08/08/2022","258.80","270.99","270.99","258.80","-4.41%"
"08/05/2022","270.75","268.21","270.75","268.21","1.47%"
"08/04/2022","266.84","274.97","274.97","266.84","-3.44%"
"08/03/2022","276.34","286.50","286.50","276.34","-3.83%"
"08/02/2022","287.36","282.63","287.36","282.63","1.72%"
"08/01/2022","282.50","294.69","294.69","282.50","-4.51%"
"07/29/2022","295.83","314.32","314.32","295.83","-5.75%"
"07/28/2022","313.87","338.11","338.11","313.87","-7.11%"
"07/27/2022","337.89","348.88","348.88","337.89","-2.10%"
"07/26/2022","345.13","330.31","345.13","330.31","5.00%"
"07/25/2022","328.68","329.50","329.50","328.68","0.29%"
"07/22/2022","327.73","327.54","327.73","327.54","0.09%"
"07/21/2022","327.42","325.40","327.42","325.40","0.00%"
"07/20/2022","327.41","337.33","337.33","327.41","-3.59%"
"07/19/2022","339.60","346.12","346.12","339.60","-2.60%"
"07/18/2022","348.66","360.78","360.78","348.66","-4.35%"
"07/15/2022","364.50","372.29","372.29","364.50","-3.21%"
