"Date","Price","Open","High","Low","Change %"
"08/10/2022","6.900","6.900","6.900","6.900","-0.50%"
"08/08/2022","6.935","6.905","6.935","6.900","0.51%"
"08/05/2022","6.900","6.905","6.905","6.900","0.36%"
"08/04/2022","6.875","6.975","6.980","6.875","-2.83%"
"08/03/2022","7.075","7.020","7.100","6.965","0.78%"
"08/02/2022","7.020","7.025","7.040","7.020","2.63%"
"08/01/2022","6.840","6.840","6.840","6.840","0.00%"
"07/29/2022","6.840","6.790","6.840","6.790","0.15%"
"07/28/2022","6.830","6.840","6.840","6.830","-0.36%"
"07/27/2022","6.855","6.865","6.880","6.840","-0.36%"
"07/26/2022","6.880","6.900","6.900","6.880","0.07%"
"07/25/2022","6.875","6.880","6.915","6.875","-0.36%"
"07/22/2022","6.900","6.870","6.900","6.870","1.47%"
"07/21/2022","6.800","6.765","6.800","6.765","0.37%"
"07/20/2022","6.775","6.840","6.840","6.775","-0.73%"
"07/19/2022","6.825","6.795","6.825","6.780","0.52%"
"07/18/2022","6.790","6.775","6.790","6.775","0.59%"
"07/15/2022","6.750","6.770","6.770","6.750","0.00%"
"07/14/2022","6.750","6.765","6.775","6.725","0.97%"
"07/13/2022","6.685","6.730","6.750","6.685","0.83%"
"07/12/2022","6.630","6.650","6.700","6.630","-0.45%"
"07/11/2022","6.660","6.610","6.660","6.590","1.68%"
"07/08/2022","6.550","6.550","6.550","6.550","-0.38%"
"07/07/2022","6.575","6.575","6.575","6.575","1.31%"
"07/06/2022","6.490","6.470","6.490","6.460","0.15%"
"07/05/2022","6.480","6.460","6.480","6.460","0.47%"
"07/04/2022","6.450","6.440","6.475","6.440","1.49%"
"07/01/2022","6.355","6.355","6.355","6.355","7.71%"
"06/29/2022","5.900","5.900","5.900","5.900","-0.08%"
"06/28/2022","5.905","5.905","5.905","5.905","-0.34%"
"06/27/2022","5.925","5.865","5.925","5.840","3.04%"
"06/24/2022","5.750","5.750","5.750","5.750","-0.17%"
"06/23/2022","5.760","5.665","5.760","5.665","1.77%"
"06/22/2022","5.660","5.660","5.660","5.660","-0.26%"
"06/21/2022","5.675","5.705","5.705","5.675","0.09%"
"06/20/2022","5.670","5.650","5.700","5.650","0.35%"
"06/17/2022","5.650","5.650","5.665","5.650","-0.44%"
"06/15/2022","5.675","5.695","5.695","5.650","-2.24%"
"06/14/2022","5.805","5.720","5.805","5.710","0.09%"
"06/13/2022","5.800","5.695","5.800","5.695","3.39%"
"06/10/2022","5.610","5.550","5.610","5.550","1.26%"
"06/09/2022","5.540","5.550","5.550","5.540","-0.18%"
"06/08/2022","5.550","5.530","5.550","5.530","-0.27%"
"06/07/2022","5.565","5.530","5.565","5.530","0.00%"
"06/06/2022","5.565","5.545","5.565","5.520","-0.36%"
"06/03/2022","5.585","5.530","5.590","5.520","0.72%"
"06/02/2022","5.545","5.520","5.565","5.515","-0.09%"
"06/01/2022","5.550","5.570","5.645","5.530","-0.36%"
"05/31/2022","5.570","5.590","5.640","5.550","-0.62%"
"05/30/2022","5.605","5.690","5.730","5.550","-0.80%"
"05/27/2022","5.650","5.680","5.745","5.650","-1.31%"
"05/26/2022","5.725","5.650","5.725","5.650","0.79%"
"05/25/2022","5.680","5.700","5.700","5.680","-0.35%"
"05/24/2022","5.700","5.690","5.700","5.675","1.24%"
"05/23/2022","5.630","5.635","5.650","5.590","-0.27%"
"05/20/2022","5.645","5.655","5.655","5.585","-0.53%"
"05/19/2022","5.675","5.645","5.680","5.595","0.44%"
"05/18/2022","5.650","5.675","5.675","5.625","0.18%"
"05/17/2022","5.640","5.600","5.675","5.550","0.45%"
"05/16/2022","5.615","5.475","5.640","5.460","1.81%"
"05/13/2022","5.515","5.400","5.520","5.375","1.85%"
"05/12/2022","5.415","5.500","5.545","5.400","-1.63%"
"05/11/2022","5.505","5.500","5.560","5.480","-0.36%"
"05/10/2022","5.525","5.520","5.590","5.495","0.00%"
"05/09/2022","5.525","5.495","5.555","5.465","0.55%"
"05/06/2022","5.495","5.480","5.525","5.465","0.83%"
"05/05/2022","5.450","5.425","5.465","5.425","-0.91%"
"05/04/2022","5.500","5.500","5.500","5.500","0.00%"
"05/03/2022","5.500","5.525","5.585","5.480","0.00%"
"04/29/2022","5.500","5.445","5.530","5.445","0.64%"
"04/28/2022","5.465","5.475","5.520","5.450","-0.27%"
"04/26/2022","5.480","5.490","5.515","5.480","-0.36%"
"04/25/2022","5.500","5.505","5.530","5.480","-0.09%"
"04/22/2022","5.505","5.500","5.580","5.500","-0.09%"
"04/21/2022","5.510","5.560","5.560","5.490","-0.54%"
"04/20/2022","5.540","5.530","5.570","5.505","-0.27%"
"04/19/2022","5.555","5.500","5.575","5.500","1.00%"
"04/14/2022","5.500","5.490","5.560","5.490","-0.72%"
"04/13/2022","5.540","5.490","5.560","5.450","0.64%"
"04/12/2022","5.505","5.480","5.550","5.460","0.09%"
"04/11/2022","5.500","5.510","5.550","5.460","-0.18%"
"04/08/2022","5.510","5.460","5.520","5.445","0.36%"
"04/07/2022","5.490","5.515","5.515","5.490","-0.45%"
"04/06/2022","5.515","5.460","5.560","5.460","-0.09%"
"04/05/2022","5.520","5.440","5.520","5.420","0.91%"
"04/04/2022","5.470","5.440","5.520","5.435","0.74%"
"04/01/2022","5.430","5.455","5.470","5.420","0.28%"
"03/31/2022","5.415","5.430","5.460","5.405","0.00%"
"03/30/2022","5.415","5.440","5.465","5.400","-0.37%"
"03/29/2022","5.435","5.460","5.500","5.395","-0.82%"
"03/28/2022","5.480","5.500","5.565","5.440","-1.17%"
"03/25/2022","5.545","5.450","5.545","5.450","1.28%"
"03/24/2022","5.475","5.465","5.550","5.460","-0.64%"
"03/23/2022","5.510","5.535","5.555","5.480","-0.27%"
"03/22/2022","5.525","5.465","5.645","5.420","-0.36%"
"03/18/2022","5.545","5.455","5.560","5.450","0.82%"
"03/17/2022","5.500","5.430","5.510","5.375","-0.09%"
"03/16/2022","5.505","5.480","5.520","5.425","-0.18%"
"03/15/2022","5.515","5.545","5.560","5.470","-0.72%"
"03/14/2022","5.555","5.520","5.560","5.480","1.28%"
"03/13/2022","5.485","5.520","5.520","5.485","-0.72%"
"03/11/2022","5.525","5.535","5.535","5.485","0.00%"
"03/10/2022","5.525","5.540","5.540","5.500","-0.45%"
"03/09/2022","5.550","5.585","5.595","5.525","-1.16%"
"03/08/2022","5.615","5.575","5.640","5.575","1.63%"
"03/07/2022","5.525","5.430","5.640","5.400","1.75%"
"03/04/2022","5.430","5.330","5.460","5.330","1.21%"
"03/03/2022","5.365","5.380","5.425","5.320","-1.20%"
"03/02/2022","5.430","5.320","5.430","5.320","0.84%"
"03/01/2022","5.385","5.320","5.395","5.295","-0.09%"
"02/28/2022","5.390","5.295","5.390","5.260","1.79%"
"02/25/2022","5.295","5.260","5.310","5.230","-0.19%"
"02/24/2022","5.305","5.220","5.375","5.220","0.09%"
"02/23/2022","5.300","5.230","5.300","5.225","0.09%"
"02/22/2022","5.295","5.300","5.300","5.220","0.86%"
"02/21/2022","5.250","5.255","5.305","5.220","-0.10%"
"02/18/2022","5.255","5.240","5.270","5.210","0.29%"
"02/17/2022","5.240","5.235","5.255","5.210","-0.38%"
"02/16/2022","5.260","5.300","5.305","5.235","-0.66%"
"02/15/2022","5.295","5.345","5.345","5.285","-0.75%"
"02/14/2022","5.335","5.395","5.405","5.310","-0.74%"
"02/11/2022","5.375","5.400","5.400","5.355","0.66%"
"02/10/2022","5.340","5.300","5.385","5.260","-0.09%"
"02/09/2022","5.345","5.300","5.375","5.290","0.38%"
"02/08/2022","5.325","5.355","5.390","5.295","-1.02%"
"02/07/2022","5.380","5.345","5.435","5.320","-1.01%"
"02/04/2022","5.435","5.300","5.435","5.260","1.59%"
"02/03/2022","5.350","5.340","5.390","5.260","-1.20%"
"02/02/2022","5.415","5.350","5.420","5.340","0.65%"
"02/01/2022","5.380","5.350","5.420","5.330","-0.28%"
"01/31/2022","5.395","5.380","5.435","5.350","-0.74%"
"01/28/2022","5.435","5.375","5.455","5.350","1.02%"
"01/27/2022","5.380","5.320","5.395","5.320","0.09%"
"01/26/2022","5.375","5.350","5.375","5.310","0.47%"
"01/25/2022","5.350","5.235","5.365","5.235","2.39%"
"01/24/2022","5.225","5.150","5.250","5.150","0.87%"
"01/21/2022","5.180","5.180","5.180","5.180","0.10%"
"01/19/2022","5.175","5.110","5.195","5.110","0.49%"
"01/18/2022","5.150","5.120","5.150","5.120","0.10%"
"01/17/2022","5.145","5.345","5.345","5.145","0.68%"
"01/14/2022","5.110","5.110","5.110","5.110","-0.49%"
"01/13/2022","5.135","5.075","5.135","5.070","0.79%"
"01/12/2022","5.095","5.125","5.125","5.095","-0.49%"
"01/11/2022","5.120","5.120","5.120","5.120","0.20%"
"01/10/2022","5.110","5.110","5.110","5.110","-0.68%"
